identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
ABADOY,-1.0316999999999998,235.026291388,2,5,[NH3+]c1ccc(cc1)S(N)(=O)=O.O=N(=O)[O-]
ABAJAQ,-2.2251999999999965,374.060628296,2,6,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].[NH2+]1CC[NH2+]CC1
ABAQEB,-0.28979999999999806,266.126657056,2,4,OC(=O)C1CCCCC1C(=O)[O-].Nc1cc[nH+]cc1
ABEHOF,-0.1777000000000007,346.0760780279999,2,8,O=N(=O)c1cc(c([O-])c(c1)N(=O)=O)N(=O)=O.[NH3+]C(C(C)C)C(O)=O
ABEKUN,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN01,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN02,3.7448000000000015,292.121177752,2,4,c1cc(ccn1)C=Cc1ccncc1.Oc1cccc(O)c1
ABEKUN03,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN04,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN05,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN06,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN07,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN08,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABELIC,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1ccc(C=Cc2ccccn2)nc1
ABIREM,3.1390400000000005,437.163393976,2,8,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1
ABOQUF,4.485000000000002,346.131742436,3,3,Oc1ccc(O)cc1.NC(=O)N1c2ccccc2C=Cc2ccccc12
ABORAM,0.19189999999999918,252.111006992,3,4,NC(=O)CN1CCCC1=O.Oc1ccc(O)cc1
ABULEQ,2.4241000000000015,310.095356928,3,4,NC(=O)c1cccnc1.OC(=O)c1cc2ccccc2cc1O
ABULEQ02,2.4241000000000015,310.095356928,3,4,NC(=O)c1cccnc1.OC(=O)c1cc2ccccc2cc1O
ABULIU,0.3227999999999998,277.10625596,3,4,Nc1ccc(cc1)C(O)=O.NC(=O)c1cccnc1.O
ACABUD,-0.022300000000000375,250.075370432,2,4,Oc1ccc(F)cc1C(=O)[O-].Nc1cc[nH+]cc1
ACACAK,0.4432,357.98144021200005,2,4,Oc1ccc(I)cc1C(=O)[O-].Nc1cc[nH+]cc1
ACACEO,1.5248000000000002,437.02363937200005,2,5,Oc1ccc(I)cc1C(=O)[O-].Nc1cc[nH+]cc1.c1ccncc1
ACACIS,-0.9775000000000005,280.105921612,2,5,COc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1.O
ACACOY,0.29404000000000086,492.200884616,4,8,Cc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1.Cc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1
ACACUE,-0.25320000000000026,277.06987045200003,2,6,Oc1ccc(cc1C(=O)[O-])N(=O)=O.Nc1cc[nH+]cc1
ACCHOB11,-2.740299999999997,225.036440852,0,2,[Br-].CC(=O)OCC[N+](C)(C)C
ACEQOQ,-2.8118999999999987,272.08691748399997,2,8,CN1N=NC2=C(N=CN2C1=O)C(N)=O.O.CC(O)=O
