identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
ABABIQ,-4.952800000000009,910.3246537280002,4,10,[Cl-].[Cl-].COc1c(N2CC3[NH2+]CCCC3C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O.COc1c(N2CC3[NH2+]CCCC3C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O.O.O
ABADOY,-1.0316999999999998,235.026291388,2,5,[NH3+]c1ccc(cc1)S(N)(=O)=O.O=N(=O)[O-]
ABAJAQ,-2.2251999999999965,374.060628296,2,6,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].[NH2+]1CC[NH2+]CC1
ABAQEB,-0.28979999999999806,266.126657056,2,4,OC(=O)C1CCCCC1C(=O)[O-].Nc1cc[nH+]cc1
ABAZUB,4.365680000000004,547.175309832,1,8,O.COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
ABAZUB01,4.365680000000006,547.1753098319999,1,8,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O
ABEBER,5.967580000000007,603.2379100879999,2,9,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CCC(C)O
ABEBIV,3.5409800000000047,565.185874516,1,8,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O
ABEBOB,0.24218000000000212,637.2281332520001,1,8,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O.O.O.O.O
ABEBUH,-0.5825199999999986,655.2386979360001,1,8,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O.O.O.O.O.O
ABECAO,3.5741800000000046,653.2383040120001,1,10,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O.C1COCCO1
ABECES,5.421960000000011,1322.420750023999,2,18,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CS(C)=O.CS(C)=O.O.O.O.O.O.O
ABECIW,3.928080000000007,625.243389392,2,9,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CC(C)O.O.O
ABECOC,9.59776,1122.3819197919997,4,18,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CO.CO
ABEDUJ,5.190380000000005,529.164745148,1,8,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
ABEHOF,-0.1777000000000007,346.0760780279999,2,8,O=N(=O)c1cc(c([O-])c(c1)N(=O)=O)N(=O)=O.[NH3+]C(C(C)C)C(O)=O
ABEKUN,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN01,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN02,3.7448000000000015,292.121177752,2,4,c1cc(ccn1)C=Cc1ccncc1.Oc1cccc(O)c1
ABEKUN03,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN04,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN05,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN06,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN07,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABEKUN08,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1
ABELAU,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU01,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU02,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU03,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU04,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU05,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELAU06,5.813000000000006,474.2055760720001,2,6,Oc1cccc(O)c1.c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
ABELIC,3.7448000000000023,292.121177752,2,4,Oc1cccc(O)c1.c1ccc(C=Cc2ccccn2)nc1
ABELUP,-2.9887999999999972,495.09860436400004,5,15,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O-].NC1=[NH+]C=NC2=C1N=CN2C1OC(CO)C(O)C1O
ABIHOM,0.8032399999999995,641.22678208,5,12,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.CO.Oc1cc(O)cc(c1)C(=O)[O-].O
ABIPIN,4.020000000000002,546.1646994399999,2,4,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1.NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
ABIREM,3.1390400000000005,437.163393976,2,8,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1
ABIRIQ,7.871680000000007,1018.4418177040001,4,18,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.C1CCOC1.C1CCOC1
ABIROW,2.01944,591.190002648,4,11,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1cccc(C(=O)[O-])c1O
ABIRUC,1.48914,593.205652712,3,10,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1ccc(cc1)C(=O)[O-].O
ABISAJ,1.9223400000000006,607.2213027760001,4,11,Oc1ccccc1C(=O)[O-].CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.CO
ABISEN,-1.2793600000000003,663.2322613840001,4,11,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1ccc(O)c(c1)C(=O)[O-].O.O.O.O
ABISIR,2.01944,591.190002648,4,11,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1cccc(O)c1C(=O)[O-]
ABISOX,2.94892,658.232201808,4,12,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1ccc(C=CC(=O)[O-])cc1O.CC#N
ABISUD,2.0180399999999996,637.23186746,5,12,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.Oc1ccc(c(O)c1)C(=O)[O-].CCO
ABITAK,1.0721199999999993,369.117214568,4,10,CCOC(=O)c1cc(O)c(O)c(O)c1.CC1=NC=C(N1CCO)N(=O)=O
ABITEO,3.0236000000000027,924.43094412,6,12,Oc1ccccc1C(=O)[O-].COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1.Oc1ccccc1C(=O)[O-].COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1
ABOQUF,4.485000000000002,346.131742436,3,3,Oc1ccc(O)cc1.NC(=O)N1c2ccccc2C=Cc2ccccc12
ABORAM,0.19189999999999918,252.111006992,3,4,NC(=O)CN1CCCC1=O.Oc1ccc(O)cc1
ABULEQ,2.4241000000000015,310.095356928,3,4,NC(=O)c1cccnc1.OC(=O)c1cc2ccccc2cc1O
ABULEQ02,2.4241000000000015,310.095356928,3,4,NC(=O)c1cccnc1.OC(=O)c1cc2ccccc2cc1O
ABULIU,0.3227999999999998,277.10625596,3,4,Nc1ccc(cc1)C(O)=O.NC(=O)c1cccnc1.O
ACABUD,-0.022300000000000375,250.075370432,2,4,Oc1ccc(F)cc1C(=O)[O-].Nc1cc[nH+]cc1
ACACAK,0.4432,357.98144021200005,2,4,Oc1ccc(I)cc1C(=O)[O-].Nc1cc[nH+]cc1
ACACEO,1.5248000000000002,437.02363937200005,2,5,Oc1ccc(I)cc1C(=O)[O-].Nc1cc[nH+]cc1.c1ccncc1
ACACIS,-0.9775000000000005,280.105921612,2,5,COc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1.O
ACACOY,0.29404000000000086,492.200884616,4,8,Cc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1.Cc1ccc(O)c(c1)C(=O)[O-].Nc1cc[nH+]cc1
ACACUE,-0.25320000000000026,277.06987045200003,2,6,Oc1ccc(cc1C(=O)[O-])N(=O)=O.Nc1cc[nH+]cc1
ACCHOB11,-2.740299999999997,225.036440852,0,2,[Br-].CC(=O)OCC[N+](C)(C)C
