identifier,smiles,HBD,HBA,logP,MW
ABABIQ,COc1c(N2CC3[NH2+]CCCC3C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O,2,5,1.3442999999999992,402.18236092009
ABADOY,[NH3+]c1ccc(cc1)S(N)(=O)=O,2,2,-0.7926000000000002,173.03792494809
ABAJAQ,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],0,6,0.6480000000000005,285.96167707181996
ABAQEB,OC(=O)C1CCCCC1C(=O)[O-],1,3,-0.37270000000000003,171.06628241191
ABAZUB,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABAZUB01,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEBER,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEBIV,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEBOB,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEBUH,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABECAO,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABECES,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABECIW,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABECOC,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEDUJ,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEHOF,[NH3+]C(C(C)C)C(O)=O,2,1,-0.6625000000000001,118.08625504409
ABEKUN,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN01,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN02,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN03,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN04,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN05,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN06,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN07,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN08,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABELAU,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU01,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU02,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU03,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU04,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU05,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU06,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELIC,c1ccc(C=Cc2ccccn2)nc1,0,2,2.6470000000000002,182.08439832
ABELUP,NC1=[NH+]C=NC2=C1N=CN2C1OC(CO)C(O)C1O,4,8,-2.5608999999999997,268.10403034809
ABEMAW,[NH2+]1CC[NH2+]CC1,2,0,-2.873199999999998,88.09895122417998
ABIHOM,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABIPIN,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,1,2,2.01,273.08234972
ABIREM,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,8,3.1390400000000005,437.163393976
ABIRIQ,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,8,3.1390400000000005,437.163393976
ABIROW,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABIRUC,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISAJ,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISEN,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISIR,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
