refcode,component_refcode,component_index,smiles,HBD,HBA,logP,MW
ABABIQ,ABABIQ_1,1,[Cl-],0,0,-2.996,34.96940125991
ABABIQ,ABABIQ_2,2,[Cl-],0,0,-2.996,34.96940125991
ABABIQ,ABABIQ_3,3,COc1c(N2CC3[NH2+]CCCC3C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O,2,5,1.3442999999999992,402.18236092009
ABABIQ,ABABIQ_4,4,COc1c(N2CC3[NH2+]CCCC3C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O,2,5,1.3442999999999992,402.18236092009
ABABIQ,ABABIQ_5,5,O,0,0,-0.8247,18.010564684
ABABIQ,ABABIQ_6,6,O,0,0,-0.8247,18.010564684
ABADOY,ABADOY_1,1,[NH3+]c1ccc(cc1)S(N)(=O)=O,2,2,-0.7926000000000002,173.03792494809
ABADOY,ABADOY_2,2,O=N(=O)[O-],0,3,-0.23910000000000006,61.988366439909996
ABAJAQ,ABAJAQ_1,1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],0,6,0.6480000000000005,285.96167707181996
ABAJAQ,ABAJAQ_2,2,[NH2+]1CC[NH2+]CC1,2,0,-2.873199999999998,88.09895122417998
ABAQEB,ABAQEB_1,1,OC(=O)C1CCCCC1C(=O)[O-],1,3,-0.37270000000000003,171.06628241191
ABAQEB,ABAQEB_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ABAZUB,ABAZUB_1,1,O,0,0,-0.8247,18.010564684
ABAZUB,ABAZUB_2,2,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABAZUB01,ABAZUB01_1,1,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABAZUB01,ABAZUB01_2,2,O,0,0,-0.8247,18.010564684
ABEBER,ABEBER_1,1,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
