identifier,stage,error
AJUKUL,smiles_parse,RDKit could not parse SMILES
APOQOM,smiles_parse,RDKit could not parse SMILES
AQOSUV,smiles_parse,RDKit could not parse SMILES
AVUDUS,smiles_parse,RDKit could not parse SMILES
BAGUBR,smiles_parse,RDKit could not parse SMILES
BAMZUN,smiles_parse,RDKit could not parse SMILES
BEWSIF,smiles_parse,RDKit could not parse SMILES
BODDIL03,smiles_parse,RDKit could not parse SMILES
BOJWIG,smiles_parse,RDKit could not parse SMILES
BOJWIG01,smiles_parse,RDKit could not parse SMILES
BOJWIG10,smiles_parse,RDKit could not parse SMILES
BOJWIG11,smiles_parse,RDKit could not parse SMILES
BOVWIT01,smiles_parse,RDKit could not parse SMILES
BUHVUZ,smiles_parse,RDKit could not parse SMILES
BUJDIX,missing_smiles,No SMILES available
CANXIY,smiles_parse,RDKit could not parse SMILES
CARTEN01,smiles_parse,RDKit could not parse SMILES
CEHVIV,smiles_parse,RDKit could not parse SMILES
CEQGEO,smiles_parse,RDKit could not parse SMILES
CEQGUE,smiles_parse,RDKit could not parse SMILES
CEQHAL,smiles_parse,RDKit could not parse SMILES
CHOLME02,smiles_parse,RDKit could not parse SMILES
COSYEQ,smiles_parse,RDKit could not parse SMILES
CUDQEY,missing_smiles,No SMILES available
CUGNAT,smiles_parse,RDKit could not parse SMILES
DAQPUJ,smiles_parse,RDKit could not parse SMILES
DERGUD,smiles_parse,RDKit could not parse SMILES
DOCCEH01,smiles_parse,RDKit could not parse SMILES
DOXYAT,smiles_parse,RDKit could not parse SMILES
DOXYEX01,smiles_parse,RDKit could not parse SMILES
DOXYEX02,smiles_parse,RDKit could not parse SMILES
DOXYIB,smiles_parse,RDKit could not parse SMILES
DOXYOH,smiles_parse,RDKit could not parse SMILES
DOXYUN,smiles_parse,RDKit could not parse SMILES
DOXZAU,smiles_parse,RDKit could not parse SMILES
DOXZEY,smiles_parse,RDKit could not parse SMILES
DOXZUO,smiles_parse,RDKit could not parse SMILES
DOYBAX,smiles_parse,RDKit could not parse SMILES
DOYBIF,smiles_parse,RDKit could not parse SMILES
DOYBOL,smiles_parse,RDKit could not parse SMILES
DOYBUR,smiles_parse,RDKit could not parse SMILES
DOYCIG03,smiles_parse,RDKit could not parse SMILES
DOYCOM,smiles_parse,RDKit could not parse SMILES
DOYDAZ,smiles_parse,RDKit could not parse SMILES
DOYDIH,smiles_parse,RDKit could not parse SMILES
DOYDON,smiles_parse,RDKit could not parse SMILES
DOYDUT,smiles_parse,RDKit could not parse SMILES
DUWQUJ,missing_smiles,No SMILES available
DUWRUK,missing_smiles,No SMILES available
ECOROH,smiles_parse,RDKit could not parse SMILES
EKECOM,smiles_parse,RDKit could not parse SMILES
EKESIY,smiles_parse,RDKit could not parse SMILES
EKESIY03,smiles_parse,RDKit could not parse SMILES
ELAREP,smiles_parse,RDKit could not parse SMILES
EMARER,missing_smiles,No SMILES available
EXOKUX,missing_smiles,No SMILES available
EYIBEU02,smiles_parse,RDKit could not parse SMILES
EYIBEU03,smiles_parse,RDKit could not parse SMILES
FIJYUT,smiles_parse,RDKit could not parse SMILES
FIKFEL,smiles_parse,RDKit could not parse SMILES
FITQII03,smiles_parse,RDKit could not parse SMILES
FUVYAA,smiles_parse,RDKit could not parse SMILES
FUXZUT,smiles_parse,RDKit could not parse SMILES
FUYRIA,missing_smiles,No SMILES available
GAZFIZ,smiles_parse,RDKit could not parse SMILES
GAZFOF,missing_smiles,No SMILES available
GAZFOF02,smiles_parse,RDKit could not parse SMILES
GAZFOF03,missing_smiles,No SMILES available
